"team","id","name","photo_url","position","evaluation"
"gremio","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/02/07/2579c294b6dea3b9b44c1e0ddbe0a64f_80x80.jpeg","MEC","4"
"gremio","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2018/04/09/91b61a14df4512fe1db6fd9a9dbd5ebd_80x80.png","MEC","4"
"gremio","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/03/25/dd9ea56235c4560ee7a1b057397c6134_80x80.png","ATA","4"
"gremio","jael","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_80x80.png","ATA","4"
"gremio","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_80x80.png","LAE","5"
"gremio","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2011/08/14/7022e0e5e15ad7911141a46c0de5c8ff_80x80.jpeg","ZAD","5"
"cruzeiro","fabio","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_80x80.png","GOL","1"
"cruzeiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_80x80.png","GOL","3"
"cruzeiro","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/03/20/8bfba60975f0fbad8d9932b7f4fc39d1_80x80.png","LAD","3"
"cruzeiro","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_80x80.png","LAD","4"
"cruzeiro","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/03/20/e6c3059f14e524e15524f9afcdb72548_80x80.png","LAE","3"
"cruzeiro","marcelo-hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2018/03/20/1c20a3fec008eb9f29cc1994843f06f2_80x80.png","LAE","4"
"cruzeiro","dede","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_80x80.png","ZAD","2"
"cruzeiro","leo","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_80x80.png","ZAE","3"
"cruzeiro","murilo","Murilo","https://s.glbimg.com/es/sde/f/2017/04/06/ac1485f2fbd995b94c3544520d1ebdd8_80x80.png","ZAD","3"
"cruzeiro","manoel","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_80x80.png","ZAD","3"
"cruzeiro","henrique","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_80x80.png","VOL","3"
"cruzeiro","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_80x80.png","VOL","3"
"cruzeiro","lucas-romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_80x80.png","VOL","3"
"cruzeiro","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/01/12/9fa1b8a7e9c259b09518c7f6def8f2ab_80x80.png","VOL","5"
"cruzeiro","robinho","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_80x80.png","MEC","2"
"cruzeiro","mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2018/03/20/a7053c4a56edad347c74f10b59091214_80x80.png","MEC","3"
"cruzeiro","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_80x80.png","MEC","1"
"cruzeiro","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2017/04/05/c7a931941057f3ba5a13209ed19a41f1_80x80.png","MEC","2"
"cruzeiro","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_80x80.png","MEC","3"
"cruzeiro","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_80x80.png","ATA","5"
